PLAYER,SCORE,COUNT,TIER,PLAYER,SCORE,COUNT
Cesarz Saleka,17140,97,1,Cesarz Saleka,38528,180
Hulk,15925,86,1,Hulk,27325,127
Mr BaCk,4659,65,1,Mr BaCk,6632,93
RatkoM,12349,84,1,RatkoM,13191,88
Marvi,4688,76,1,Marvi,5590,85
SJ III SoH,7345,53,1,SJ III SoH,11047,85
Diabolik,4293,56,1,Diabolik,6304,80
Braveheart,3081,56,1,Braveheart,4413,79
Karodor,3741,36,1,Karodor,5012,72
Rhodry,2741,37,1,Rhodry,11229,70
Lirinir,7253,58,1,Lirinir,7927,67
Rudolf,1642,43,1,Rudolf,2512,66
Feli,3396,43,1,Feli,4784,61
Grosvenor,6440,51,1,Grosvenor,7259,57
ZaCk,1875,37,1,ZaCk,2285,49
Luciditee,2620,26,1,Luciditee,4216,44
Tumitac,1799,34,1,Tumitac,2247,43
Genghis Khan,4148,33,1,Genghis Khan,4542,42
Mal the Unc,1320,28,1,Mal the Uncrowned,2878,40
Gradog,1967,21,1,Gradog,5057,39
KARMA,2487,21,1,KARMA,5570,37
Max Decimus,1647,19,1,Max Decimus,3865,34
Heretical Hermit,4975,22,1,Heretical Hermit,7765,31
Mighty Forger,2042,26,1,Mighty Forger,2695,31
Kerilir,203,7,1,Kerilir,812,25
Black Mamba,620,6,1,Black Mamba,1948,23
Legolas,1227,11,1,Legolas,1902,21
DAJMITU,752,5,1,DAJMITU,1764,15
Rain,571,13,1,Rain,588,14
Foxhunter,611,3,1,Foxhunter,1139,8
Thorn,9882,119,2,Thorn,14531,184
Uhtred,5731,71,2,Uhtred,10111,133
Alberikh,9316,117,2,Alberikh,10000,127
Rebellion,1198,63,2,Rebellion,2697,117
Xan,1603,69,2,Xan,2438,108
Sir RES,1650,64,2,Sir RES,2134,103
Eydaen,1609,74,2,Eydaen,1811,98
Foolish Mortal,554,34,2,Foolish Mortal,4400,92
D23,1223,41,2,D23,2361,63
Thoth,2492,38,2,Thoth,4724,63
Brandemet,1999,45,2,Brandemet,2642,57
DarkAngel,916,32,2,DarkAngel,1532,55
Muradin Bb,1610,41,2,Muradin Bronzebeard,2607,55
Immortal,1046,39,2,Immortal,1123,46
Rainblade,921,37,2,Rainblade,1135,46
Fosida,1983,32,2,Fosida,2745,42
Painmoon,1167,31,2,Painmoon,1270,41
Vlad the Impaler,512,27,2,Vlad the Impaler,931,41
Dragon Armor,1355,30,2,Dragon Armor,1525,40
Fire Armor,957,29,2,Fire Armor,1144,40
Mabrinad,1748,28,2,Mabrinad,2589,40
Maedrosin,1232,23,2,Maedrosin,2190,33
Amginir,2667,25,2,Amginir,3830,32
Viper I,784,23,2,Viper I,835,30
Pearl,1328,25,2,Pearl,1496,27
Tex Willer,1220,12,2,Tex Willer,1852,19
Bjorn,503,9,2,Bjorn,705,13
MILI,515,9,2,MILI,515,9
Deep Inside,552,8,2,Deep Inside,552,8
Masius,645,98,3,Masius,1500,202
Xena,3158,58,3,Xena,4558,84
Sailv,1755,55,3,Sailv,2083,80
Sire Menion,3428,36,3,Sire Menion,7116,70
Lady G,1948,47,3,Lady G,2867,63
Mazura,719,37,3,Mazura,893,52
RED GUARDIAN,2222,41,3,RED GUARDIAN,2693,50
Marvilla,,,3,Marvilla,156,48
Secret Keeper,1482,35,3,Secret Keeper,1906,45
Sir Chthulhu I,1564,45,3,Sir Chthulhu I,1564,45
Nobody special,579,36,3,Nobody special,694,42
EL CHAPO,34,1,3,EL CHAPO GUZMAN,1085,36
Grozilkree,195,13,3,Grozilkree,632,36
Kirimand,635,23,3,Kirimand,825,34
Lanfir,47,18,3,Lanfir,73,34
Mingo 2,1075,27,3,Mingo 2,1262,34
Saucy Joy,165,18,3,Saucy Joy,270,31
Cyril Figgis,594,24,3,Cyril Figgis,729,30
Lerinad,1462,28,3,Lerinad,1496,30
Silverblade,804,22,3,Silverblade,836,30
T NOBUNAGA,121,15,3,T NOBUNAGA,320,27
L G BRANDON,41,6,3,L G BRANDON,114,24
Dugul,185,15,3,Dugul,463,23
M MUSASHI,99,15,3,M MUSASHI,222,23
Sassy Gal,49,12,3,Sassy Gal,170,23
Lorfanor,140,10,3,Lorfanor,343,20
Quick,728,20,3,Quick,728,20
Gros jnr,984,15,3,Gros jnr,984,15
Puck,38,9,3,Puck,58,14
StarSailor,676,7,3,StarSailor,803,13
B FutherMucker,456,11,3,Bad FutherMucker,456,11
Ognisty Smok,12,3,3,Ognisty Smok,26,8
zipkinci,152,5,3,zipkinci,203,8
Felharne,205,4,3,Felharne,256,7
3CPo,200,1,3,3CPo,214,6
Kokosz,29,4,3,Kokosz,29,4
Norbee1984,1,1,3,Norbee1984,2,2
Aegrosad,1,1,3,Aegrosad,1,1
MMM,2500,90,,MMM,2500,116
